,Average ICSEA value,Boys,Completed senior secondary school,Full-time equivalent enrolments,Full-time equivalent non-teaching staff,Full-time equivalent teaching staff,Girls,Indigenous students,Location,Name,Non-teaching staff,SMCLID,School ICSEA value,School sector,School type,School-based apprenticeships and traineeships,Senior secondary certificate awarded,Teaching staff,Total enrolments,VET enrolments,Year,Year 3 | Grammar,Year 3 | Numeracy,Year 3 | Reading,Year 3 | Spelling,Year 3 | Writing,Year 5 | Grammar,Year 5 | Numeracy,Year 5 | Reading,Year 5 | Spelling,Year 5 | Writing,Year 7 | Grammar,Year 7 | Numeracy,Year 7 | Reading,Year 7 | Spelling,Year 7 | Writing,Year 9 | Grammar,Year 9 | Numeracy,Year 9 | Reading,Year 9 | Spelling,Year 9 | Writing,Year range
0,1000,349,61,704.3,22.3,51.7,365,14%,Metropolitan,"Ocean View P-12 College, Taperoo, SA",28,90780,945,Government,Combined,7,50,56,714,767,2014,345,334,405,325,300,460,451,487,473,451,507,489,521,512,479,524,542,552,547,520,"U, R-12"
1,1000,359,45,733.4,21.4,56.3,384,13%,Metropolitan,"Ocean View P-12 College, Taperoo, SA",27,90780,951,Government,Combined,,32,62,743,88,2013,391,335,373,356,379,504,464,488,488,475,506,499,501,532,507,555,542,566,559,522,"U, R-12"
2,1000,375,51,737.8,20.3,58.7,380,12%,Metropolitan,"Ocean View P-12 College, Taperoo, SA",25,90780,930,Government,Combined,4,45,62,755,44,2012,318,314,392,348,359,448,444,476,457,449,519,510,510,528,506,555,563,557,561,543,"U, R-12"
3,1000,376,42,782.6,19.2,61.7,414,12%,Metropolitan,"Ocean View P-12 College, Taperoo, SA",24,90780,924,Government,Combined,5,31,69,790,59,2011,366,327,370,355,374,465,464,457,463,459,509,510,519,526,508,539,536,550,551,541,"U, R-12"
4,1000,414,41,780.4,17,60.7,379,13%,Metropolitan,"Ocean View P-12 College, Taperoo, SA",23,90780,924,Government,Combined,,37,65,793,,2010,361,341,384,365,387,481,463,466,481,461,513,495,513,538,508,564,562,565,567,581,"U, R-12"
5,1000,389,39,790.5,22.2,62.6,411,13%,Metropolitan,"Ocean View P-12 College, Taperoo, SA",29,90780,914,Government,Combined,,30,65,800,,2009,363,365,391,387,403,516,485,522,487,505,524,503,515,536,537,545,532,539,541,534,"U, R-12"
6,1000,391,,764.5,22.8,60.9,389,12%,Metropolitan,"Ocean View P-12 College, Taperoo, SA",30,90780,914,Government,Combined,,,65,780,,2008,402,395,390,392,413,511,456,483,475,492,517,502,505,514,524,557,571,571,583,573,-
7,1000,382,,735,12.4,38.8,353,0%,Metropolitan,"Stradbroke School, Rostrevor, SA",21,90787,1079,Government,Primary,,,46,735,,2014,444,412,421,422,416,514,488,497,500,449,560,551,559,552,537,,,,,,"U, R-7"
8,1000,394,,749,10.2,40.7,355,0%,Metropolitan,"Stradbroke School, Rostrevor, SA",16,90787,1076,Government,Primary,,,48,749,,2013,424,398,412,413,405,493,464,498,493,466,553,559,547,566,543,,,,,,"U, R-7"
9,1000,240,,431,8,22.5,191,1%,Metropolitan,"Stradbroke School, Rostrevor, SA",10,90787,1068,Government,Primary,,,27,431,,2012,417,402,422,426,415,512,490,506,505,468,557,541,546,553,546,,,,,,3-7
10,1000,231,,431,7.8,21.2,200,1%,Metropolitan,"Stradbroke School, Rostrevor, SA",10,90787,1071,Government,Primary,,,25,431,,2011,398,382,403,388,400,497,484,485,496,473,555,570,568,572,578,,,,,,R-7
11,1000,227,,435,7.9,22.2,208,1%,Metropolitan,"Stradbroke School, Rostrevor, SA",11,90787,1076,Government,Primary,,,26,435,,2010,426,393,421,403,414,507,486,499,491,465,555,564,549,561,554,,,,,,3-7
12,1000,225,,439,7.3,21.2,214,1%,Metropolitan,"Stradbroke School, Rostrevor, SA",9,90787,1061,Government,Primary,,,24,439,,2009,410,386,412,404,412,532,485,514,514,496,580,559,572,565,586,,,,,,3-7
13,1000,233,,450,7.7,21.5,217,-,Metropolitan,"Stradbroke School, Rostrevor, SA",10,90787,1061,Government,Primary,,,24,450,,2008,393,405,411,401,404,507,479,485,501,468,557,565,556,574,594,,,,,,-
14,1000,202,,388,13.7,25.4,186,13%,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",18,90786,935,Government,Primary,,,30,388,,2014,356,364,367,354,348,431,440,453,441,432,501,496,512,497,482,,,,,,"U, R-7"
15,1000,195,,366,10.9,23.8,171,12%,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",14,90786,942,Government,Primary,,,27,366,,2013,336,345,347,333,323,471,437,475,448,445,527,523,533,512,525,,,,,,"U, R-7"
16,1000,203,,381.5,13.5,30,179,10%,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",18,90786,930,Government,Primary,,,33,382,,2012,341,344,349,344,359,442,437,459,437,432,521,506,522,512,486,,,,,,"U, R-7"
17,1000,227,,432,13.6,28,205,11%,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",19,90786,930,Government,Primary,,,31,432,,2011,383,366,383,373,392,463,447,469,454,453,499,485,500,503,485,,,,,,"U, R-7"
18,1000,244,,456,14.9,27,212,11%,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",20,90786,927,Government,Primary,,,29,456,,2010,364,356,374,352,381,473,447,482,465,476,510,506,505,498,504,,,,,,"U, R-7"
19,1000,269,,495,14.7,28.6,226,10%,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",20,90786,928,Government,Primary,,,30,495,,2009,375,355,375,360,397,465,454,481,455,461,498,492,503,486,499,,,,,,"U, R-7"
20,1000,250,,470,14.1,25,220,6%,Metropolitan,"Christies Beach Primary School, Christies Beach, SA",20,90786,928,Government,Primary,,,27,470,,2008,379,387,393,368,411,473,437,462,458,448,510,496,518,522,520,,,,,,-
